id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
561575169091225652,Back Bay Condo Entire Floor Prívate Elevator,118162851,Eric,,Back Bay,42.35082,-71.07943,Entire home/apt,750,14,2,2022-04-30,0.34,1,302,2,STR-468139
561593544880244069,Cozy 3bed 4bath 2022 townhome w/ garage 新建双拼别墅带车库,387254825,Zeyu,,Hyde Park,42.24053,-71.15418,Entire home/apt,295,7,2,2022-09-07,2,1,347,2,
562067680836802730,Lovely BR in Roxbury,297860058,June Team,,Dorchester,42.30398,-71.07969,Private room,70,91,0,,,113,107,0,
562395069475861949,Sonder at Pierce Boston | Accessible Studio Apartment,224829568,Sonder (Boston),,Fenway,42.34431,-71.1009,Entire home/apt,400,2,36,2022-07-18,0.66,24,328,11,Exempt: This listing is a hotel or motel
562455714860557629,Lovely modern 2bed 2bath unit in historic west end,158837906,Hashouki,,Downtown,42.36614,-71.06596,Entire home/apt,799,7,2,2022-06-25,0.41,82,332,2,STR-004781
562904650702512130,"Cambridge 1BR w/ Gym & W/D, nr Central Sq",107434423,Blueground,,Fenway,42.35986,-71.10096,Entire home/apt,229,32,0,,,477,326,0,""
562904961691403095,Dorchester/Milton Studio w/ Gym & in-building W/D,107434423,Blueground,,Dorchester,42.2719604,-71.0677086,Entire home/apt,160,32,0,,,477,299,0,
562907163780109964,Dorchester/Milton 2BR w/ Gym & in-building W/D,107434423,Blueground,,Dorchester,42.2721038,-71.067512,Entire home/apt,298,32,0,,,477,122,0,
562907622902357132,"Kendall Sq 1BR w/ Gym & Concierge, nr MIT",107434423,Blueground,,West End,42.36487379999999,-71.0830428,Entire home/apt,263,32,0,,,477,235,0,""
562909674759088729,"S. End 1BR w/ Gym, W/D & Pool, nr SoWa",107434423,Blueground,,South End,42.33856,-71.06907,Entire home/apt,265,32,0,,,477,360,0,
562910079747001300,"E. Cambridge 1BR w/ Gym & W/D, nr Kendall Sq",107434423,Blueground,,West End,42.36982,-71.07313,Entire home/apt,292,32,0,,,477,135,0,""
562910621692803531,"Kendall Sq 1BR w/ Concierge & Gym, nr MIT",107434423,Blueground,,West End,42.36487379999999,-71.0830428,Entire home/apt,298,32,0,,,477,0,0,""
563452455814726863,City respite bedroom apt with parking and yard,6823717,Juan Carlos,,Allston,42.36298,-71.11318,Entire home/apt,250,30,1,2022-06-27,0.37,2,0,1,C0352300491
563666311796592385,"Brand new 2-bed, 2 bath condo with Peloton bike",15083802,Sally,,Roxbury,42.31935,-71.07318,Entire home/apt,220,29,0,,,1,46,0,
563794192602066775,Sonder at Pierce Boston | Two-Bedroom Apartment,224829568,Sonder (Boston),,Fenway,42.34407,-71.10296,Entire home/apt,693,2,105,2022-08-30,1.91,24,357,30,Exempt: This listing is a hotel or motel
564453639733331698,"Furnished bedroom, perfect for travel contract",7895978,Kara,,Jamaica Plain,42.31785,-71.10768,Private room,56,91,1,2022-06-19,0.34,2,86,1,
564630324252268366,Beautiful Room Near T and Boston(2B),388872888,Yuping,,Charlestown,42.38942,-71.08273,Private room,69,2,6,2022-08-25,1.03,8,224,6,
565026020916948591,Gorgeous Beacon Hills Studio next to State house 3,162705378,Huanan,,Beacon Hill,42.35989,-71.06651,Entire home/apt,161,1,34,2022-08-31,6.75,4,193,34,STR-465433
565061216401674911,Modern & Cozy 3-BR Condo near Downtown,137161971,Daniel,,Roxbury,42.31623,-71.0771,Entire home/apt,201,1,65,2022-09-01,9.90,1,240,65,STR-464328
565180602602398283,Spacious 2 bedrooms in the heart of Boston,437204027,Raja,,Dorchester,42.29641,-71.08227,Private room,82,91,1,2022-06-29,0.38,5,350,1,
565760673165661000,Cozy room with shared patio in Brookline Village,85145607,Tianxi,,Jamaica Plain,42.33042,-71.12223,Private room,105,3,3,2022-09-01,0.69,5,267,3,
565864117663478485,"New & Modern,Big Game Room,10Min to Airport & BOS!",37364041,Robinson,,Charlestown,42.40672,-71.05686,Entire home/apt,300,1,73,2022-09-13,11.17,4,118,73,
566450430168033283,Amazing one bed apt in beacon hill with backyard,373675137,Liya,,Beacon Hill,42.36017,-71.06484,Entire home/apt,105,29,0,,,76,314,0,
566457509925583259,Huge rare to find luxury 3 Br Seaport Boston,158837906,Hashouki,,South Boston Waterfront,42.34926,-71.04574,Entire home/apt,799,2,5,2022-08-15,0.90,82,322,5,STR-917362
